call_id,put_id,date_entry,date_exit,expiration,dte,stock_price_entry,stock_price_exit,call_delta_entry,put_delta_entry,strangle_price_entry,strangle_price_exit,short_strangle_dollar_pnl,short_strangle_pct_pnl
SPY190109C00255000,SPY190109P00242000,2019-01-02,2019-01-09,2019-01-09,7,249.42,257.71,0.20508,-0.18962,1.7,2.815,-1.115,-0.6559
SPY190111C00258000,SPY190111P00246000,2019-01-04,2019-01-11,2019-01-11,7,252.25,258.88,0.19767,-0.20883,1.705,0.885,0.82,0.4809
SPY190114C00260000,SPY190114P00249000,2019-01-07,2019-01-14,2019-01-14,7,254.93,257.71,0.21437,-0.20752,1.65,0.01,1.64,0.9939
SPY190116C00263000,SPY190116P00252000,2019-01-09,2019-01-16,2019-01-16,7,257.71,261.18,0.19017,-0.20513,1.385,0.01,1.375,0.9928
SPY190118C00263000,SPY190118P00253500,2019-01-11,2019-01-18,2019-01-18,7,258.88,266.08,0.21052,-0.19406,1.28,3.095,-1.815,-1.418
SPY190122C00264000,SPY190122P00255500,2019-01-15,2019-01-22,2019-01-22,7,260.32,261.87,0.1961,-0.19909,1.08,0.01,1.07,0.9907
SPY190123C00265000,SPY190123P00256500,2019-01-16,2019-01-23,2019-01-23,7,261.18,263.18,0.2079,-0.19106,1.12,0.01,1.11,0.9911
SPY190125C00270000,SPY190125P00261500,2019-01-18,2019-01-25,2019-01-25,7,266.08,265.79,0.21367,-0.20524,1.105,0.01,1.095,0.991
SPY190130C00268000,SPY190130P00257500,2019-01-23,2019-01-30,2019-01-30,7,263.18,267.48,0.2086,-0.20178,1.485,0.095,1.39,0.936
SPY190201C00270000,SPY190201P00261000,2019-01-25,2019-02-01,2019-02-01,7,265.79,269.99,0.22529,-0.2057,1.41,0.16,1.25,0.8865
SPY190204C00268000,SPY190204P00258000,2019-01-28,2019-02-04,2019-02-04,7,263.43,271.36,0.22282,-0.20721,1.555,3.42,-1.865,-1.1994
SPY190206C00272000,SPY190206P00262000,2019-01-30,2019-02-06,2019-02-06,7,267.48,272.68,0.21709,-0.19467,1.42,0.72,0.7,0.493
SPY190208C00274000,SPY190208P00266000,2019-02-01,2019-02-08,2019-02-08,7,269.99,269.68,0.19125,-0.20878,1.08,0.01,1.07,0.9907
SPY190211C00275000,SPY190211P00268000,2019-02-04,2019-02-11,2019-02-11,7,271.36,270.61,0.18974,-0.21478,0.96,0.01,0.95,0.9896
SPY190213C00276000,SPY190213P00268500,2019-02-06,2019-02-13,2019-02-13,7,272.68,275.23,0.21801,-0.20558,0.975,0.02,0.955,0.9795
SPY190215C00273500,SPY190215P00265000,2019-02-08,2019-02-15,2019-02-15,7,269.68,277.26,0.19103,-0.19028,1.1,3.73,-2.63,-2.3909
SPY190219C00277500,SPY190219P00270000,2019-02-12,2019-02-19,2019-02-19,7,273.93,278.29,0.19113,-0.1949,0.925,0.81,0.115,0.1243
SPY190220C00278500,SPY190220P00271500,2019-02-13,2019-02-20,2019-02-20,7,275.23,278.3,0.20979,-0.2017,0.99,0.105,0.885,0.8939
SPY190222C00280000,SPY190222P00273500,2019-02-15,2019-02-22,2019-02-22,7,277.26,278.85,0.23827,-0.19518,1.01,0.02,0.99,0.9802
SPY190227C00282000,SPY190227P00274500,2019-02-20,2019-02-27,2019-02-27,7,278.3,279.05,0.17853,-0.20385,0.925,0.01,0.915,0.9892
SPY190301C00282000,SPY190301P00275000,2019-02-22,2019-03-01,2019-03-01,7,278.85,280.73,0.20539,-0.19714,0.96,0.01,0.95,0.9896
SPY190304C00283000,SPY190304P00276000,2019-02-25,2019-03-04,2019-03-04,7,279.79,279.18,0.21682,-0.20633,1.05,0.01,1.04,0.9905
SPY190306C00282000,SPY190306P00275000,2019-02-27,2019-03-06,2019-03-06,7,279.05,277.43,0.20572,-0.21448,1.1,0.01,1.09,0.9909
SPY190308C00283500,SPY190308P00277000,2019-03-01,2019-03-08,2019-03-08,7,280.73,274.08,0.20204,-0.18871,0.835,2.95,-2.115,-2.5329
SPY190311C00282000,SPY190311P00275000,2019-03-04,2019-03-11,2019-03-11,7,279.18,278.49,0.22478,-0.19616,1.065,0.01,1.055,0.9906
